36th Parliament, 1st Session
Bill title search
No.	Bill title	Sponsor
1	Executive Council Amendment Act, 1995	
Eves, Hon. Ernie Deputy Premier
2	Election Amendment Act, 1995	
McGuinty, Dalton
3	Solicitors Amendment Act, 1995	
Chiarelli, Bob
4	Law Society Amendment Act, 1995	
Chiarelli, Bob
5	Shortline Railways Act, 1995	
Palladini, Hon. Al Minister of Transportation
6	Corporations Information Amendment Act, 1995	
Sterling, Hon. Norman W. Minister of Consumer and Commercial Relations
7	Labour Relations and Employment Statute Law Amendment Act, 1995	
Witmer, Hon. Elizabeth Minister of Labour
8	Job Quotas Repeal Act, 1995	
Mushinski, Hon. Marilyn Minister of Citizenship, Culture and Recreation
9	Drop the Penny Act, 1995	
Tilson, David Allan
PR9	City of Brampton Act, 1995	
Clement, Tony
10	Motor Vehicle Fuel Pricing Act, 1995	
Chiarelli, Bob
PR11	Waterloo County Board of Education Act, 1995	
Leadston, Gary L.
11	Property Rights Statute Law Amendment Act, 1995	
Barrett, Toby
PR12	Canadian Niagara Power Company, Limited Act, 1995	
Hudak, Tim
12	Charter of Rights for Victims of Crime, 1995	
Castrilli, Annamarie
PR13	City of Nepean Act, 1995	
Baird, John R.
13	Franchises Act, 1995	
Martin, Tony
PR14	City of Nepean Act, 1995	
Baird, John R.
14	Drop the Penny Act, 1995	
Tilson, David Allan
15	Workers' Compensation and Occupational Health and Safety Amendment Act, 1995	
Witmer, Hon. Elizabeth Minister of Labour
16	Public Transportation and Highway Improvement Amendment Act, 1995	
Gravelle, Michael
17	Realty Tax Freeze Statute Law Amendment Act, 1995	
Carr, Gary
18	Citizens Assembly Project Act, 1995	
Chiarelli, Bob
19	Advocacy, Consent and Substitute Decisions Statute Law Amendment Act, 1996	
Harnick, Hon. Charles Attorney General
20	Land Use Planning and Protection Act, 1996	
Leach, Hon. Allan F. Minister of Municipal Affairs and Housing
21	Public Hospital Foundations Act, 1995	
Hastings, John
22	Legislative Assembly Oath of Allegiance Act, 1995	
Agostino, Dominic
23	Victims' Bill of Rights, 1995	
Harnick, Hon. Charles Attorney General
24	Environmental Protection Statute Law Amendment Act, 1995	
Wildman, Charles "Bud" Jackson
PR24	TD Trust Company Act, 1996	
Marchese, Rosario
25	Remembrance Day Act, 1995	
Boushy, Dave
26	Savings and Restructuring Act, 1996	
Eves, Hon. Ernie Minister of Finance
27	Children's Law Reform Amendment Act, 1995	
Hastings, John
28	Municipal Amendment Act (Simcoe Day), 1995	
Gilchrist, Steve
29	Automobile Insurance Act, 1995	
Sergio, Mario
30	Education Quality and Accountability Office Act, 1996	
Snobelen, Hon. John Minister of Education and Training
31	Ontario College of Teachers Act, 1996	
Snobelen, Hon. John Minister of Education and Training
PR31	City of Brampton Act, 1996	
Clement, Tony
32	Freezing of Compensation for Members of the Assembly Act, 1996	
Eves, Hon. Ernie Minister of Finance
33	Legislative Assembly Amendment Act, 1996	
Flaherty, Jim
34	Education Amendment Act, 1996	
Snobelen, Hon. John Minister of Education and Training
PR34	City of Ottawa Act, 1996	
Grandmaître, Bernard C.
PR35	Ottawa Civic Hospital Act, 1996	
Patten, Richard
35	Personal Property Security Amendment Act, 1996	
Sterling, Hon. Norman W. Minister of Consumer and Commercial Relations
36	Ministry of Natural Resources Statute Law Amendment Act, 1996	
Hodgson, Hon. Chris Minister of Natural Resources, Northern Development and Mines
37	Education Amendment Act (Co-operation Among Boards), 1996	
Wildman, Charles "Bud" Jackson
PR37	City of Mississauga Act, 1995	
Sampson, Rob
