MPP	Riding
Allsopp, Tyler	Bay of Quinte
Anand, Deepak	Mississauga—Malton
Andrew, Jill	Toronto—St. Paul's
Armstrong, Teresa J.	London—Fanshawe
Arnott, Hon. Ted	Wellington—Halton Hills
Babikian, Aris	Scarborough—Agincourt
Bailey, Robert	Sarnia—Lambton
Barnes, Patrice	Ajax
Begum, Doly	Scarborough Southwest
Bell, Jessica	University—Rosedale
Bethlenfalvy, Hon. Peter	Pickering—Uxbridge
Blais, Stephen	Orléans
Bouma, Will	Brantford—Brant
Bourgouin, Guy	Mushkegowuk—James Bay
Bowman, Stephanie	Don Valley West
Brady, Bobbi Ann	Haldimand—Norfolk
Bresee, Ric	Hastings—Lennox and Addington
Burch, Jeff	Niagara Centre
Byers, Rick	Bruce—Grey—Owen Sound
Calandra, Hon. Paul	Markham—Stouffville
Cho, Hon. Stan	Willowdale
Cho, Hon. Raymond Sung Joon	Scarborough North
Clancy, Aislinn	Kitchener Centre
Clark, Steve	Leeds—Grenville—Thousand Islands and Rideau Lakes
Coe, Lorne	Whitby
Collard, Lucille	Ottawa—Vanier
Crawford, Hon. Stephen	Oakville
Cuzzetto, Rudy	Mississauga—Lakeshore
Dixon, Jess	Kitchener South—Hespeler
Dowie, Andrew	Windsor—Tecumseh
Downey, Hon. Doug	Barrie—Springwater—Oro-Medonte
Dunlop, Hon. Jill	Simcoe North
Fedeli, Hon. Victor	Nipissing
Fife, Catherine	Waterloo
Flack, Hon. Rob	Elgin—Middlesex—London
Ford, Hon. Doug	Etobicoke North
Ford, Hon. Michael D.	York South—Weston
Fraser, John	Ottawa South
French, Jennifer K.	Oshawa
Fullerton, Merrilee	Kanata—Carleton
Gallagher Murphy, Dawn	Newmarket—Aurora
Gates, Wayne	Niagara Falls
Gélinas, France	Nickel Belt
Ghamari, Goldie	Carleton
Gill, Parm	Milton
Glover, Chris	Spadina—Fort York
Gretzky, Lisa	Windsor West
Grewal, Hardeep Singh	Brampton East
Hamid, Zee	Milton
Hardeman, Ernie	Oxford
Harden, Joel	Ottawa Centre
Harris, Hon. Mike	Kitchener—Conestoga
Hazell, Andrea	Scarborough—Guildwood
Hogarth, Christine	Etobicoke—Lakeshore
Holland, Hon. Kevin	Thunder Bay—Atikokan
Horwath, Andrea	Hamilton Centre
Hsu, Ted	Kingston and the Islands
Hunter, Mitzie	Scarborough—Guildwood
Jama, Sarah	Hamilton Centre
Jones, Hon. Sylvia	Dufferin—Caledon
Jones, Hon. Trevor	Chatham-Kent—Leamington
Jordan, John	Lanark—Frontenac—Kingston
Kanapathi, Logan	Markham—Thornhill
Karpoche, Bhutila	Parkdale—High Park
Ke, Vincent	Don Valley North
Kernaghan, Terence	London North Centre
Kerzner, Hon. Michael S.	York Centre
Khanjin, Hon. Andrea	Barrie—Innisfil
Kusendova-Bashta, Hon. Natalia	Mississauga Centre
Leardi, Anthony	Essex
Lecce, Hon. Stephen	King—Vaughan
Lindo, Laura Mae	Kitchener Centre
Lumsden, Hon. Neil	Hamilton East—Stoney Creek
MacLeod, Lisa	Nepean
Mamakwa, Sol	Kiiwetinoong
Mantha, Michael	Algoma—Manitoulin
Martin, Robin	Eglinton—Lawrence
McCarthy, Hon. Todd J.	Durham
McCrimmon, Karen	Kanata—Carleton
McGregor, Hon. Graham	Brampton North
McMahon, Mary-Margaret	Beaches—East York
McNaughton, Monte	Lambton—Kent—Middlesex
Mulroney, Hon. Caroline	York—Simcoe
Oosterhoff, Hon. Sam	Niagara West
Pang, Billy	Markham—Unionville
Parsa, Hon. Michael	Aurora—Oak Ridges—Richmond Hill
Pasma, Chandra	Ottawa West—Nepean
Piccini, Hon. David	Northumberland—Peterborough South
Pierre, Natalie	Burlington
Pinsonneault, Steve	Lambton—Kent—Middlesex
Pirie, Hon. George	Timmins
Quinn, Hon. Nolan	Stormont—Dundas—South Glengarry
Rae, Matthew	Perth—Wellington
Rakocevic, Tom	Humber River—Black Creek
Rasheed, Kaleed	Mississauga East—Cooksville
Rickford, Hon. Greg	Kenora—Rainy River
Riddell, Brian	Cambridge
Romano, Ross	Sault Ste. Marie
Sabawy, Sheref	Mississauga—Erin Mills
Sandhu, Amarjot	Brampton West
Sarkaria, Hon. Prabmeet Singh	Brampton South
Sarrazin, Stéphane	Glengarry—Prescott—Russell
Sattler, Peggy	London West
Saunderson, Brian	Simcoe—Grey
Schreiner, Mike	Guelph
Scott, Laurie	Haliburton—Kawartha Lakes—Brock
Shamji, Adil	Don Valley East
Shaw, Sandy	Hamilton West—Ancaster—Dundas
Skelly, Donna	Flamborough—Glanbrook
Smith, Hon. Graydon	Parry Sound—Muskoka
Smith, Todd	Bay of Quinte
Smith, Dave	Peterborough—Kawartha
Smith, Laura	Thornhill
Smith, David	Scarborough Centre
Stevens, Jennifer (Jennie)	St. Catharines
Stiles, Marit	Davenport
Surma, Hon. Kinga	Etobicoke Centre
Tabuns, Peter	Toronto—Danforth
Tangri, Hon. Nina	Mississauga—Streetsville
Taylor, Monique	Hamilton Mountain
Thanigasalam, Hon. Vijay	Scarborough—Rouge Park
Thompson, Hon. Lisa M.	Huron—Bruce
Tibollo, Hon. Michael A.	Vaughan—Woodbridge
Triantafilopoulos, Effie J.	Oakville North—Burlington
Vanthof, John	Timiskaming—Cochrane
Vaugeois, Lise	Thunder Bay—Superior North
Wai, Daisy	Richmond Hill
West, Jamie	Sudbury
Williams, Hon. Charmaine A.	Brampton Centre
Wong-Tam, Kristyn	Toronto Centre
Yakabuski, John	Renfrew—Nipissing—Pembroke
